Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
5,26,Mo's Bows,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
5,26,Crio,No,Food and Beverage,Male,,,,,,,,,,,,0,,
5,27,Angellift,Yes,Fashion / Beauty,Male,"$500,000",15%,"$3,333,333",,,1,,,,,,1,"$500,000",
5,27,HangEase,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,27,The Bouqs Company,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,27,Susty Party,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
5,28,Oru Kayak,Yes,Fitness / Sports,Male,"$500,000",25%,"$2,000,000",,,,1,,,,,1,"$500,000",
5,28,Bon Affair,Yes,Food and Beverage,Female,"$150,000",35%,"$428,571",,1,,,,,,,1,"$150,000",
5,28,Cinnaholic,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
5,28,Hargitt Marine Services,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
5,29,Foot Fairy,Yes,Software / Tech,Female,"$100,000",40%,"$250,000",,1,,,,,,,1,"$100,000",
5,29,BZbox,Yes,Lifestyle / Home,Female,"$50,000",40%,"$125,000",,,1,,,,,,1,"$50,000",
5,29,Tie-Not,No,Children / Education,Male,,,,,,,,,,,,0,,
5,29,Baker's Edge,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
6,1,Sleeping Baby,Yes,Children / Education,Mixed Team,"$200,000",20%,"$1,000,000",,,,,1,,,,1,"$200,000",
6,1,Bombas,Yes,Fashion / Beauty,Male,"$200,000",18%,"$1,142,857",,,,,1,,,,1,"$200,000",
6,1,Hammer & Nails,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
6,1,Amber,No,Software / Tech,Male,,,,,,,,,,,,0,,
6,2,Kronos,Yes,Fitness / Sports,Male,"$150,000",30%,"$500,000",,,,1,,,,,1,"$150,000",
6,2,Roominate,Yes,Children / Education,Female,"$500,000",5%,"$10,000,000",,1,1,,,,,,2,"$250,000",
6,2,The Floating Mug Co.,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
6,2,Wedding Wagon,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
6,3,Heart Pup,Yes,Pet Products,Female,"$50,000",40%,"$125,000",,,,,1,,,,1,"$50,000",
6,3,SoapSox,No,Children / Education,Male,,,,,,,,,,,,0,,
6,3,Ninja Cards,No,Children / Education,Male,,,,,,,,,,,,0,,
6,3,DrumPants,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
6,4,Paper Box Pilots,Yes,Children / Education,Male,"$35,000",50%,"$70,000",,,,1,,,,,1,"$35,000",
6,4,Reviver,Yes,Lifestyle / Home,Male,"$150,000",15%,"$1,000,000",,,1,,,,,,1,"$150,000",
6,4,FunCakes Rental,No,Food and Beverage,Female,,,,,,,,,,,,0,,
6,4,Table Jacks,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
6,5,The Red Dress Boutique,Yes,Fashion / Beauty,Mixed Team,"$1,200,000",20%,"$6,000,000",,1,,1,,,,,2,"$600,000",
6,5,SunStaches,Yes,Fashion / Beauty,Male,"$300,000",20%,"$1,500,000",,,,,1,,,,1,"$300,000",
6,5,Jungle JumpaRoo,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
6,5,The Caddy Girls,No,Fitness / Sports,Female,,,,,,,,,,,,0,,
6,6,Honeyfund,Yes,Software / Tech,Mixed Team,"$400,000",n/a,,,,,,,1,,,1,"$400,000",three times return from the transaction revenue
6,6,BeatBox Beverages,Yes,Food and Beverage,Mixed Team,"$1,000,000",33%,"$3,030,303",,1,,,,,,,1,"$1,000,000",
6,6,Oilerie USA,No,Food and Beverage,Male,,,,,,,,,,,,0,,
6,6,EmergenSee,No,Software / Tech,Male,,,,,,,,,,,,0,,
6,7,Myself Belts,Yes,Children / Education,Female,"$75,000",25%,"$300,000",,,,,1,,,,1,"$75,000",
